transaction_id,order_id,payment_type,amount,transaction_date
1,1,Credit Card,"$874,200",4/18/2022 13:53:22
2,2,Debit Card,"$437,100",4/6/2022 17:21:12
3,3,Credit Card,"$437,100",8/21/2022 19:54:49
4,4,PayPal,"$437,100",5/11/2022 14:26:33
5,5,Debit Card,"$874,200",9/7/2022 4:43:12
6,6,Debit Card,"$874,200",7/24/2022 23:04:44
7,7,Credit Card,"$874,200",7/22/2022 4:34:42
8,8,Debit Card,"$874,200",8/30/2022 7:11:17
9,9,PayPal,"$437,100",4/24/2022 22:17:46
10,10,PayPal,"$437,100",5/21/2022 9:22:55
11,11,Credit Card,"$437,100",8/17/2022 5:28:12
12,12,Credit Card,"$437,100",6/19/2022 14:05:19
13,13,Debit Card,"$874,200",9/19/2022 15:23:22
14,14,PayPal,"$874,200",6/24/2022 18:40:28
15,15,Debit Card,"$1,311,300",4/22/2022 1:16:11
16,16,PayPal,"$1,311,300",4/22/2022 1:06:42
17,17,PayPal,"$1,311,300",3/7/2022 7:57:20
18,18,Credit Card,"$874,200",6/2/2022 3:31:05
19,19,Debit Card,"$437,100",3/27/2022 1:19:40
20,20,PayPal,"$437,100",8/7/2022 9:54:14
21,21,Credit Card,"$437,100",3/9/2022 2:08:04
22,22,PayPal,"$874,200",3/29/2022 22:57:10
23,23,Credit Card,"$1,311,300",4/23/2022 11:04:34
24,24,Credit Card,"$437,100",4/22/2022 23:45:00
25,25,Credit Card,"$1,311,300",3/24/2022 22:18:18
26,26,Debit Card,"$1,311,300",3/5/2022 8:41:54
27,27,Credit Card,"$874,200",7/21/2022 12:13:19
28,28,Credit Card,"$874,200",5/2/2022 9:21:26
29,29,PayPal,"$437,100",4/7/2022 16:15:47
30,30,Credit Card,"$874,200",4/24/2022 11:45:56
31,31,PayPal,"$874,200",8/24/2022 13:01:04
32,32,PayPal,"$874,200",6/16/2022 15:06:35
33,33,Debit Card,"$437,100",5/30/2022 14:59:07
34,34,Credit Card,"$1,311,300",3/9/2022 15:55:18
35,35,Credit Card,"$1,311,300",3/28/2022 14:50:55
36,36,PayPal,"$437,100",5/29/2022 20:08:42
37,37,Debit Card,"$1,311,300",3/11/2022 7:32:53
38,38,Credit Card,"$1,311,300",7/7/2022 12:16:42
39,39,Debit Card,"$437,100",8/26/2022 21:05:18
40,40,PayPal,"$1,311,300",5/24/2022 22:50:05
41,41,Credit Card,"$874,200",6/3/2022 14:22:02
42,42,Debit Card,"$437,100",5/3/2022 10:39:25
43,43,Credit Card,"$437,100",8/14/2022 23:34:25
44,44,Credit Card,"$874,200",8/21/2022 20:08:14
45,45,Debit Card,"$874,200",5/18/2022 14:18:21
46,46,Credit Card,"$874,200",7/8/2022 21:56:50
47,47,PayPal,"$874,200",6/10/2022 16:50:52
48,48,Credit Card,"$437,100",5/12/2022 7:56:28
49,49,Credit Card,"$437,100",9/28/2022 9:52:52
50,50,Debit Card,"$437,100",3/11/2022 9:11:25
51,51,Debit Card,"$874,200",9/20/2022 0:40:58
52,52,Debit Card,"$874,200",5/16/2022 2:32:03
53,53,Credit Card,"$874,200",9/2/2022 21:42:24
54,54,Debit Card,"$874,200",9/14/2022 10:56:06
55,55,Credit Card,"$874,200",7/19/2022 12:42:30
56,56,PayPal,"$437,100",3/11/2022 19:38:09
57,57,PayPal,"$874,200",9/15/2022 21:01:58
58,58,Credit Card,"$874,200",5/25/2022 8:38:25
59,59,Credit Card,"$437,100",8/29/2022 7:07:26
60,60,PayPal,"$1,311,300",4/29/2022 1:21:32
61,61,PayPal,"$1,311,300",3/24/2022 17:34:42
62,62,Credit Card,"$874,200",6/2/2022 5:43:44
63,63,PayPal,"$1,311,300",6/20/2022 6:02:13
64,64,PayPal,"$1,311,300",6/13/2022 22:20:18
65,65,Credit Card,"$437,100",3/24/2022 5:12:33
66,66,Debit Card,"$874,200",3/8/2022 14:22:37
67,67,Debit Card,"$437,100",7/31/2022 1:10:14
68,68,PayPal,"$437,100",4/4/2022 4:09:03
69,69,Credit Card,"$874,200",3/26/2022 6:45:49
70,70,PayPal,"$437,100",9/3/2022 10:23:22
71,71,PayPal,"$874,200",7/14/2022 13:21:06
72,72,Credit Card,"$874,200",6/17/2022 21:03:36
73,73,Debit Card,"$1,311,300",4/27/2022 22:23:08
74,74,PayPal,"$874,200",8/22/2022 18:23:37
75,75,PayPal,"$874,200",7/5/2022 0:26:56
76,76,Debit Card,"$874,200",5/2/2022 18:17:03
77,77,Credit Card,"$874,200",4/24/2022 6:51:34
78,78,Credit Card,"$874,200",4/18/2022 16:01:49
79,79,Credit Card,"$1,311,300",8/6/2022 3:30:26
80,80,Credit Card,"$1,311,300",6/28/2022 10:24:56
81,81,Credit Card,"$437,100",9/14/2022 18:22:50
82,82,PayPal,"$874,200",5/10/2022 17:24:47
83,83,PayPal,"$874,200",7/6/2022 11:37:23
84,84,Debit Card,"$1,311,300",9/20/2022 0:08:14
85,85,Debit Card,"$1,311,300",9/26/2022 21:41:01
86,86,Debit Card,"$437,100",7/12/2022 1:31:16
87,87,Debit Card,"$874,200",5/2/2022 3:42:51
88,88,Credit Card,"$874,200",5/22/2022 21:47:09
89,89,Credit Card,"$437,100",4/6/2022 20:56:16
90,90,Debit Card,"$874,200",8/26/2022 0:04:28
91,91,PayPal,"$874,200",9/28/2022 13:35:54
92,92,Credit Card,"$874,200",3/14/2022 10:00:14
93,93,Credit Card,"$1,311,300",4/7/2022 18:49:05
94,94,PayPal,"$1,311,300",6/28/2022 5:29:11
95,95,PayPal,"$1,311,300",9/18/2022 3:41:35
96,96,PayPal,"$874,200",9/19/2022 7:05:01
97,97,PayPal,"$1,311,300",5/10/2022 20:30:17
98,98,PayPal,"$437,100",3/7/2022 1:38:51
99,99,Debit Card,"$874,200",4/6/2022 6:01:55
100,100,PayPal,"$874,200",6/15/2022 16:33:06
101,101,Credit Card,"$874,200",4/28/2022 3:40:23
102,102,PayPal,"$874,200",5/6/2022 8:45:35
103,103,Debit Card,"$874,200",9/4/2022 4:52:06
104,104,Credit Card,"$437,100",8/15/2022 12:23:37
105,105,PayPal,"$1,311,300",3/23/2022 15:45:03
106,106,PayPal,"$437,100",8/21/2022 3:24:00
107,107,PayPal,"$1,311,300",3/27/2022 21:55:44
108,108,Credit Card,"$1,311,300",8/22/2022 0:19:13
109,109,PayPal,"$437,100",7/19/2022 17:06:31
110,110,Debit Card,"$1,311,300",3/7/2022 5:36:12
111,111,Debit Card,"$1,311,300",6/22/2022 22:06:04
112,112,PayPal,"$437,100",9/11/2022 2:55:32
113,113,Credit Card,"$1,311,300",6/18/2022 11:59:57
114,114,Credit Card,"$874,200",5/29/2022 17:02:17
115,115,Debit Card,"$1,311,300",7/5/2022 20:25:04
116,116,Debit Card,"$437,100",4/26/2022 20:56:45
117,117,Credit Card,"$874,200",3/5/2022 12:12:24
118,118,Credit Card,"$874,200",5/31/2022 20:22:26
119,119,Debit Card,"$1,311,300",3/5/2022 16:07:15
120,120,PayPal,"$437,100",5/7/2022 14:48:04
121,121,PayPal,"$874,200",6/14/2022 14:50:00
122,122,Credit Card,"$1,311,300",4/5/2022 18:22:58
123,123,PayPal,"$874,200",6/15/2022 2:26:04
124,124,Credit Card,"$437,100",6/30/2022 18:19:08
125,125,Debit Card,"$1,311,300",4/27/2022 9:19:37
126,126,Debit Card,"$874,200",6/20/2022 19:42:48
127,127,Credit Card,"$437,100",8/30/2022 23:43:34
128,128,Debit Card,"$874,200",8/6/2022 8:02:48
129,129,PayPal,"$1,311,300",8/5/2022 0:40:46
130,130,Debit Card,"$437,100",5/6/2022 14:32:52
131,131,Debit Card,"$1,311,300",4/19/2022 6:00:15
132,132,PayPal,"$874,200",8/20/2022 3:11:49
133,133,PayPal,"$874,200",4/26/2022 12:20:24
134,134,Credit Card,"$437,100",3/25/2022 4:56:06
135,135,Debit Card,"$874,200",7/17/2022 12:54:17
136,136,Credit Card,"$1,311,300",7/13/2022 4:49:48
137,137,Credit Card,"$874,200",4/16/2022 8:34:08
138,138,PayPal,"$1,311,300",7/12/2022 2:48:53
139,139,Credit Card,"$874,200",9/13/2022 7:13:01
140,140,Credit Card,"$1,311,300",4/30/2022 8:43:35
141,141,Debit Card,"$1,311,300",6/29/2022 6:59:46
142,142,Credit Card,"$1,311,300",5/15/2022 17:21:10
143,143,Credit Card,"$874,200",3/6/2022 0:05:23
144,144,Credit Card,"$1,311,300",6/7/2022 0:31:04
145,145,Debit Card,"$437,100",6/20/2022 0:05:30
146,146,PayPal,"$874,200",4/19/2022 0:55:42
147,147,Debit Card,"$1,311,300",9/22/2022 5:36:42
148,148,PayPal,"$1,311,300",8/8/2022 15:53:35
149,149,PayPal,"$1,311,300",4/3/2022 1:56:29
150,150,PayPal,"$1,311,300",7/16/2022 18:13:19
151,151,Debit Card,"$437,100",3/24/2022 20:18:23
152,152,Debit Card,"$437,100",3/26/2022 17:21:01
153,153,PayPal,"$437,100",5/5/2022 9:15:27
154,154,Debit Card,"$1,311,300",6/28/2022 20:20:52
155,155,Credit Card,"$1,311,300",3/12/2022 19:07:51
156,156,PayPal,"$874,200",8/22/2022 5:15:37
157,157,PayPal,"$437,100",5/9/2022 3:37:59
158,158,PayPal,"$1,311,300",7/6/2022 16:21:30
159,159,PayPal,"$1,311,300",9/17/2022 7:25:31
160,160,Credit Card,"$437,100",4/26/2022 15:36:30
161,161,Debit Card,"$1,311,300",6/17/2022 15:35:52
162,162,Credit Card,"$1,311,300",4/1/2022 22:01:52
163,163,Debit Card,"$1,311,300",5/23/2022 8:36:30
164,164,Credit Card,"$1,311,300",4/15/2022 20:46:23
165,165,PayPal,"$874,200",6/20/2022 8:47:53
166,166,Credit Card,"$874,200",6/6/2022 6:26:58
167,167,Credit Card,"$874,200",7/7/2022 20:21:43
168,168,PayPal,"$437,100",6/5/2022 14:53:41
169,169,Debit Card,"$437,100",5/21/2022 1:25:44
170,170,Debit Card,"$437,100",5/24/2022 3:34:07
171,171,PayPal,"$874,200",6/5/2022 0:29:42
172,172,PayPal,"$437,100",3/16/2022 9:35:38
173,173,PayPal,"$1,311,300",7/18/2022 13:51:19
174,174,PayPal,"$1,311,300",3/8/2022 22:25:19
175,175,PayPal,"$1,311,300",5/8/2022 16:11:08
176,176,Credit Card,"$1,311,300",4/22/2022 22:34:15
177,177,Debit Card,"$1,311,300",5/7/2022 3:18:21
178,178,PayPal,"$1,311,300",5/11/2022 13:04:56
179,179,Debit Card,"$1,311,300",3/25/2022 9:03:04
180,180,PayPal,"$437,100",6/15/2022 1:44:30
181,181,Credit Card,"$874,200",9/25/2022 12:15:05
182,182,Credit Card,"$874,200",9/14/2022 19:08:38
183,183,Credit Card,"$874,200",4/5/2022 8:10:31
184,184,Credit Card,"$874,200",5/22/2022 18:50:01
185,185,Debit Card,"$1,311,300",6/16/2022 1:08:19
186,186,Credit Card,"$1,311,300",7/30/2022 12:31:10
187,187,Debit Card,"$1,311,300",3/19/2022 22:42:48
188,188,PayPal,"$1,311,300",9/8/2022 15:57:18
189,189,PayPal,"$437,100",5/20/2022 6:24:24
190,190,Credit Card,"$874,200",6/11/2022 5:45:11
191,191,Debit Card,"$437,100",4/14/2022 19:28:33
192,192,PayPal,"$874,200",3/22/2022 5:37:35
193,193,PayPal,"$437,100",9/12/2022 14:36:54
194,194,PayPal,"$874,200",8/3/2022 4:29:58
195,195,PayPal,"$874,200",8/16/2022 14:21:44
196,196,Credit Card,"$437,100",3/25/2022 4:56:06
197,197,Credit Card,"$437,100",4/23/2022 20:00:33
198,198,Credit Card,"$1,311,300",4/16/2022 8:34:08
199,199,PayPal,"$437,100",8/27/2022 7:22:45
200,200,Credit Card,"$874,200",6/13/2022 12:22:58